ERROR: /Users/mariuszbeltowski/projects/profitelo/frontend/src/angularjs/common/components/communicator/modals/consultation-summary-expert/consultation-summary-expert.controller.ts[145, 5]: Use a conditional expression instead of assigning to 'this.clientNickname' in multiple places.
ERROR: /Users/mariuszbeltowski/projects/profitelo/frontend/src/angularjs/common/components/dashboard/expert/employees/pending-invitation/pending-invitation.controller.ts[41, 5]: Use a conditional expression instead of assigning to 'this.emailOrMsisdn' in multiple places.
ERROR: /Users/mariuszbeltowski/projects/profitelo/frontend/src/angularjs/common/components/interface/collapse-btn/collapse-btn.ts[23, 5]: Use a conditional expression instead of assigning to 'this.stylesObject.height' in multiple places.
ERROR: /Users/mariuszbeltowski/projects/profitelo/frontend/src/angularjs/common/components/interface/collapse-btn/collapse-btn.ts[60, 5]: Use a conditional expression instead of assigning to 'this.stylesObject.height' in multiple places.
ERROR: /Users/mariuszbeltowski/projects/profitelo/frontend/src/angularjs/common/components/interface/collapse-tab/collapse-tab.ts[35, 5]: Use a conditional expression instead of assigning to 'this.stylesObject.height' in multiple places.
ERROR: /Users/mariuszbeltowski/projects/profitelo/frontend/src/angularjs/common/components/interface/input-dropdown-tag/input-dropdown-tag.controller.ts[76, 7]: Use a conditional expression instead of assigning to 'this.isOpen' in multiple places.
ERROR: /Users/mariuszbeltowski/projects/profitelo/frontend/src/angularjs/common/components/interface/radio-text/radio-text.ts[13, 7]: Use a conditional expression instead of assigning to 'this.isCollapsed' in multiple places.
ERROR: /Users/mariuszbeltowski/projects/profitelo/frontend/src/angularjs/common/components/interface/show-more-text/show-more-text.ts[46, 5]: Use a conditional expression instead of assigning to 'this.descriptionStyles.height' in multiple places.
ERROR: /Users/mariuszbeltowski/projects/profitelo/frontend/src/angularjs/common/components/interface/user-avatar/user-avatar.controller.ts[11, 5]: Use a conditional expression instead of assigning to 'this.profileImageUrl' in multiple places.
ERROR: /Users/mariuszbeltowski/projects/profitelo/frontend/src/angularjs/common/components/interface/user-avatar/user-avatar.controller.ts[19, 5]: Use a conditional expression instead of assigning to 'this.profileImageUrl' in multiple places.
ERROR: /Users/mariuszbeltowski/projects/profitelo/frontend/src/app/shared/services/navbar-menu-service/navbar-menu.service.ts[29, 9]: Use a conditional expression instead of assigning to 'isExpert' in multiple places.
ERROR: /Users/mariuszbeltowski/projects/profitelo/frontend/src/app/shared/services/navbar-menu-service/navbar-menu.service.ts[44, 9]: Use a conditional expression instead of assigning to 'isCompany' in multiple places.
